#09.2015
['28.09.2015', '28.09.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']
['01.10.2015', '01.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '567', '567', '46', '368.46', '0.00', '414.06']r 
['01.10.2015', '01.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '567', '567', '46', '368.46', '0.00', '414.06']s 
['01.10.2015', '01.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '567', '567', '46', '368.46', '0.00', '414.06']s 
['01.10.2015', '01.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '600', '600', '46', '394.50', '0.00', '440.10']r 
['01.10.2015', '01.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '600', '600', '46', '394.50', '0.00', '440.10']s 
['01.10.2015', '01.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '600', '600', '46', '394.50', '0.00', '440.10']s 
['01.10.2015', '01.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '600', '600', '46', '394.50', '0.00', '440.10']s 
['01.10.2015', '01.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '600', '600', '46', '394.50', '0.00', '440.10']s 
['01.10.2015', '01.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '600', '600', '46', '394.50', '0.00', '440.10']s 
['01.10.2015', '01.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '600', '600', '46', '394.50', '0.00', '440.10']s 
['02.10.2015', '02.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '1000', '1000', '46', '394.50', '591.60', '1031.70']r 
['02.10.2015', '02.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['02.10.2015', '02.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '800', '800', '46', '394.50', '295.80', '735.90']r 
['02.10.2015', '02.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['02.10.2015', '02.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['05.10.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '333', '999', '666', '46', '394.50', '97.61', '537.71']r 
['05.10.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['05.10.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['05.10.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']s 
['05.10.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '333', '999', '666', '46', '394.50', '97.61', '537.71']r 
['05.10.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '333', '999', '666', '46', '394.50', '97.61', '537.71']s 
['05.10.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '5', '105', '100', '46', '0.00', '0.00', '45.60']r 
['05.10.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '5', '105', '100', '46', '0.00', '0.00', '45.60']r 
['05.10.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '5', '105', '100', '46', '0.00', '0.00', '45.60']r 
['05.10.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '5', '105', '100', '46', '0.00', '0.00', '45.60']s 
['05.10.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '5', '205', '200', '46', '78.90', '0.00', '124.50']r 
['03.10.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '5', '105', '100', '46', '0.00', '0.00', '45.60']r 
['03.10.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '5', '105', '100', '46', '0.00', '0.00', '45.60']s 
['03.10.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '5', '405', '400', '46', '236.70', '0.00', '282.30']r 
['03.10.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '5', '405', '400', '46', '236.70', '0.00', '282.30']s 
['19.08.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '256', '256', '46', '123.08', '0.00', '168.68']r 
['19.08.2015', '05.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '256', '256', '46', '123.08', '0.00', '168.68']s 
['09.10.2015', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '138', '46', '29.98', '0.00', '75.58']r 
['09.10.2015', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '138', '46', '29.98', '0.00', '75.58']s 
['09.10.2015', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '138', '46', '29.98', '0.00', '75.58']s 
['01.01.2001', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '167', '46', '52.86', '0.00', '98.46']r 
['01.01.2001', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '167', '46', '52.86', '0.00', '98.46']s 
['01.01.2001', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '167', '46', '52.86', '0.00', '98.46']s 
['29.09.2010', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '167', '46', '52.86', '0.00', '98.46']r 
['29.09.2010', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '167', '46', '52.86', '0.00', '98.46']s 
['29.09.2010', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '341', '46', '190.15', '0.00', '235.75']r 
['29.09.2010', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '341', '46', '190.15', '0.00', '235.75']s 
['29.09.2010', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '341', '46', '190.15', '0.00', '235.75']s 
['01.01.2000', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '341', '46', '190.15', '0.00', '235.75']r 
['01.01.2000', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '341', '46', '190.15', '0.00', '235.75']s 
['01.01.2000', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '145', '46', '35.51', '0.00', '81.11']r 
['01.01.2000', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '145', '46', '35.51', '0.00', '81.11']s 
['01.10.2015', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '145', '46', '35.51', '0.00', '81.11']r 
['01.10.2015', '09.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '145', '46', '35.51', '0.00', '81.11']s 
['10.10.2015', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '123', '789', '666', '46', '394.50', '97.61', '537.71']r 
['10.10.2015', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '123', '987', '864', '46', '394.50', '390.46', '830.56']r 
['10.10.2015', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '123', '178', '55', '25', '0.00', '0.00', '25.08']r 
['10.10.2015', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '123', '198', '75', '34', '0.00', '0.00', '34.20']r 
['10.10.2015', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '123', '267', '144', '46', '34.72', '0.00', '80.32']r 
['10.10.2015', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '123', '222', '99', '45', '0.00', '0.00', '45.14']r 
['10.10.2015', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '123', '222', '99', '45', '0.00', '0.00', '45.14']s 
['10.10.2011', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '167', '46', '52.86', '0.00', '98.46']r 
['10.10.2011', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '167', '46', '52.86', '0.00', '98.46']s 
['10.10.2011', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '155', '46', '43.40', '0.00', '89.00']r 
['10.10.2011', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '155', '46', '43.40', '0.00', '89.00']s 
['10.10.2012', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '145', '46', '35.51', '0.00', '81.11']r 
['10.10.2012', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '145', '46', '35.51', '0.00', '81.11']s 
['10.10.2013', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '132', '46', '25.25', '0.00', '70.85']r 
['10.10.2013', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '132', '46', '25.25', '0.00', '70.85']s 
['10.10.2013', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '98', '45', '0.00', '0.00', '44.69']r 
['10.10.2013', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '98', '45', '0.00', '0.00', '44.69']s 
['10.10.2014', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '98', '45', '0.00', '0.00', '44.69']r 
['10.10.2014', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '98', '45', '0.00', '0.00', '44.69']s 
['10.10.2015', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '280', '46', '142.02', '0.00', '187.62']r 
['10.10.2015', '10.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '280', '46', '142.02', '0.00', '187.62']s 
['12.10.2015', '12.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['12.10.2015', '12.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']s 
['12.10.2015', '12.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '134', '46', '26.83', '0.00', '72.43']r 
['12.10.2015', '12.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '134', '46', '26.83', '0.00', '72.43']s 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '800', '46', '394.50', '295.80', '735.90']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '200', '46', '78.90', '0.00', '124.50']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '150', '46', '39.45', '0.00', '85.05']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '132', '46', '25.25', '0.00', '70.85']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '135', '46', '27.62', '0.00', '73.22']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '138', '46', '29.98', '0.00', '75.58']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '122', '46', '17.36', '0.00', '62.96']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '111', '46', '8.68', '0.00', '54.28']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '111', '46', '8.68', '0.00', '54.28']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '111', '46', '8.68', '0.00', '54.28']s 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '111', '46', '8.68', '0.00', '54.28']r 
['08.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '111', '46', '8.68', '0.00', '54.28']r 
['08.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '111', '46', '8.68', '0.00', '54.28']s 
['08.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '111', '46', '8.68', '0.00', '54.28']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '88', '40', '0.00', '0.00', '40.13']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '88', '40', '0.00', '0.00', '40.13']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '88', '40', '0.00', '0.00', '40.13']s 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '88', '40', '0.00', '0.00', '40.13']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '222', '46', '96.26', '0.00', '141.86']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '222', '46', '96.26', '0.00', '141.86']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '222', '46', '96.26', '0.00', '141.86']s 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '222', '46', '96.26', '0.00', '141.86']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']s 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '111', '46', '8.68', '0.00', '54.28']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '111', '46', '8.68', '0.00', '54.28']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '111', '46', '8.68', '0.00', '54.28']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '111', '46', '8.68', '0.00', '54.28']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '111', '46', '8.68', '0.00', '54.28']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '111', '46', '8.68', '0.00', '54.28']s 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '111', '46', '8.68', '0.00', '54.28']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']s 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']s 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']s 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']s 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '555', '46', '359.00', '0.00', '404.60']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '555', '46', '359.00', '0.00', '404.60']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '555', '46', '359.00', '0.00', '404.60']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '555', '46', '359.00', '0.00', '404.60']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '555', '46', '359.00', '0.00', '404.60']s 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '555', '46', '359.00', '0.00', '404.60']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']s 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '123', '46', '18.15', '0.00', '63.75']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '222', '46', '96.26', '0.00', '141.86']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '222', '46', '96.26', '0.00', '141.86']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '111', '46', '8.68', '0.00', '54.28']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '100', '46', '0.00', '0.00', '45.60']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '100', '46', '0.00', '0.00', '45.60']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '100', '46', '0.00', '0.00', '45.60']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '112', '46', '9.47', '0.00', '55.07']r 
['13.10.2015', '13.10.2015', '100', '600', '0.456', '0.789', '1.479', '0', '0', '0', '0', '0.00', '0.00', '0.00']r 
